#tstp   Ax    Ay
682  -1.20828  -1.20828
683  -1.19611  -1.19611
684  -1.18369  -1.18369
685  -1.171  -1.171
686  -1.15805  -1.15805
687  -1.14485  -1.14485
688  -1.13139  -1.13139
689  -1.11766  -1.11766
690  -1.10368  -1.10368
691  -1.08944  -1.08944
692  -1.07494  -1.07494
693  -1.06018  -1.06018
694  -1.04516  -1.04516
695  -1.02988  -1.02988
696  -1.01433  -1.01433
697  -0.998534  -0.998534
698  -0.982475  -0.982475
699  -0.966156  -0.966156
700  -0.949578  -0.949578
701  -0.932742  -0.932742
702  -0.915647  -0.915647
703  -0.898295  -0.898295
704  -0.880684  -0.880684
705  -0.862817  -0.862817
706  -0.844693  -0.844693
707  -0.826314  -0.826314
708  -0.807678  -0.807678
709  -0.788788  -0.788788
710  -0.769644  -0.769644
711  -0.750246  -0.750246
712  -0.730596  -0.730596
713  -0.710694  -0.710694
714  -0.690541  -0.690541
715  -0.670138  -0.670138
716  -0.649486  -0.649486
717  -0.628586  -0.628586
718  -0.607439  -0.607439
719  -0.586046  -0.586046
720  -0.564408  -0.564408
721  -0.542526  -0.542526
722  -0.520402  -0.520402
723  -0.498037  -0.498037
724  -0.475432  -0.475432
725  -0.452589  -0.452589
726  -0.429508  -0.429508
727  -0.406192  -0.406192
728  -0.382642  -0.382642
729  -0.358859  -0.358859
730  -0.334845  -0.334845
731  -0.310602  -0.310602
732  -0.286132  -0.286132
733  -0.261435  -0.261435
734  -0.236515  -0.236515
735  -0.211372  -0.211372
736  -0.186008  -0.186008
737  -0.160427  -0.160427
738  -0.134628  -0.134628
739  -0.108616  -0.108616
740  -0.0823903  -0.0823903
741  -0.0559548  -0.0559548
742  -0.0293111  -0.0293111
743  -0.00246143  -0.00246143
744  0.024592  0.024592
745  0.0518468  0.0518468
746  0.0793007  0.0793007
747  0.106951  0.106951
748  0.134796  0.134796
749  0.162833  0.162833
750  0.191059  0.191059
751  0.219472  0.219472
752  0.248069  0.248069
753  0.276847  0.276847
754  0.305804  0.305804
755  0.334937  0.334937
756  0.364244  0.364244
757  0.39372  0.39372
758  0.423365  0.423365
759  0.453174  0.453174
760  0.483144  0.483144
761  0.513273  0.513273
762  0.543558  0.543558
763  0.573995  0.573995
764  0.604582  0.604582
765  0.635315  0.635315
766  0.666191  0.666191
767  0.697207  0.697207
768  0.728359  0.728359
769  0.759644  0.759644
770  0.791059  0.791059
771  0.8226  0.8226
772  0.854264  0.854264
773  0.886048  0.886048
774  0.917947  0.917947
775  0.949959  0.949959
776  0.982079  0.982079
777  1.0143  1.0143
778  1.04663  1.04663
779  1.07905  1.07905
780  1.11157  1.11157
781  1.14418  1.14418
782  1.17688  1.17688
783  1.20965  1.20965
784  1.24251  1.24251
785  1.27544  1.27544
786  1.30844  1.30844
787  1.3415  1.3415
788  1.37463  1.37463
789  1.40782  1.40782
790  1.44106  1.44106
791  1.47435  1.47435
792  1.50769  1.50769
793  1.54107  1.54107
794  1.57449  1.57449
795  1.60794  1.60794
796  1.64142  1.64142
797  1.67493  1.67493
798  1.70845  1.70845
799  1.742  1.742
800  1.77555  1.77555
801  1.80911  1.80911
802  1.84268  1.84268
803  1.87624  1.87624
804  1.9098  1.9098
805  1.94334  1.94334
806  1.97688  1.97688
807  2.01039  2.01039
808  2.04388  2.04388
809  2.07734  2.07734
810  2.11076  2.11076
811  2.14415  2.14415
812  2.1775  2.1775
813  2.2108  2.2108
814  2.24405  2.24405
815  2.27724  2.27724
816  2.31037  2.31037
817  2.34343  2.34343
818  2.37643  2.37643
819  2.40934  2.40934
820  2.44218  2.44218
821  2.47494  2.47494
822  2.5076  2.5076
823  2.54017  2.54017
824  2.57264  2.57264
825  2.60501  2.60501
826  2.63727  2.63727
827  2.66941  2.66941
828  2.70144  2.70144
829  2.73334  2.73334
830  2.76511  2.76511
831  2.79675  2.79675
832  2.82826  2.82826
833  2.85962  2.85962
834  2.89084  2.89084
835  2.9219  2.9219
836  2.9528  2.9528
837  2.98355  2.98355
838  3.01412  3.01412
839  3.04453  3.04453
840  3.07476  3.07476
841  3.10481  3.10481
842  3.13467  3.13467
843  3.16434  3.16434
844  3.19382  3.19382
845  3.22309  3.22309
846  3.25216  3.25216
847  3.28102  3.28102
848  3.30967  3.30967
849  3.3381  3.3381
850  3.3663  3.3663
851  3.39427  3.39427
852  3.42201  3.42201
853  3.44952  3.44952
854  3.47678  3.47678
855  3.50379  3.50379
856  3.53055  3.53055
857  3.55705  3.55705
858  3.58329  3.58329
859  3.60927  3.60927
860  3.63497  3.63497
861  3.6604  3.6604
862  3.68555  3.68555
863  3.71042  3.71042
864  3.735  3.735
865  3.75928  3.75928
866  3.78327  3.78327
867  3.80695  3.80695
868  3.83033  3.83033
869  3.8534  3.8534
870  3.87616  3.87616
871  3.89859  3.89859
872  3.9207  3.9207
873  3.94249  3.94249
874  3.96394  3.96394
875  3.98506  3.98506
876  4.00584  4.00584
877  4.02627  4.02627
878  4.04635  4.04635
879  4.06609  4.06609
880  4.08546  4.08546
881  4.10448  4.10448
882  4.12313  4.12313
883  4.14142  4.14142
884  4.15933  4.15933
885  4.17687  4.17687
886  4.19403  4.19403
887  4.21081  4.21081
888  4.2272  4.2272
889  4.24321  4.24321
890  4.25881  4.25881
891  4.27403  4.27403
892  4.28884  4.28884
893  4.30324  4.30324
894  4.31724  4.31724
895  4.33084  4.33084
896  4.34401  4.34401
897  4.35677  4.35677
898  4.36911  4.36911
899  4.38103  4.38103
900  4.39252  4.39252
901  4.40358  4.40358
902  4.41421  4.41421
903  4.42441  4.42441
904  4.43417  4.43417
905  4.44348  4.44348
906  4.45236  4.45236
907  4.46079  4.46079
908  4.46877  4.46877
909  4.4763  4.4763
910  4.48337  4.48337
911  4.48999  4.48999
912  4.49615  4.49615
913  4.50186  4.50186
914  4.5071  4.5071
915  4.51187  4.51187
916  4.51618  4.51618
917  4.52001  4.52001
918  4.52338  4.52338
919  4.52628  4.52628
920  4.5287  4.5287
921  4.53064  4.53064
922  4.5321  4.5321
